taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
197	species	Campylobacter jejuni	178	1	4	3	3.0	2.26	0.97	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
165799	species	Cyanospira rippkae	1	4	4	4	4	4.00	0.00	[4]
946381	species	Cyanospira capsulata	1	4	4	4	4	4.00	0.00	[4]
2238	species	Haloarcula marismortui	3	2	3	3	3	2.67	0.47	[2, 3, 3]
171164	species	Halosimplex carlsbadense	1	2	2	2	2	2.00	0.00	[2]
210	species	Helicobacter pylori	181	1	2	2	2	1.94	0.23	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
231715	species	Natrinema sp. XA3-1	1	4	4	4	4	4.00	0.00	[4]
183	species	Leptonema illini	1	2	2	2	2	2.00	0.00	[2]
172	species	Leptospira biflexa	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
94045	species	Leptospira sp. Akiyami C	1	2	2	2	2	2.00	0.00	[2]
173	species	Leptospira interrogans	20	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
64667	species	Mycobacterium lepraemurium	2	1	1	1	1.0	1.00	0.00	[1, 1]
70799	species	Nodularia spumigena	2	4	4	4	4.0	4.00	0.00	[4, 4]
124	species	Blastopirellula marina	1	2	2	2	2	2.00	0.00	[2]
380	species	Sinorhizobium fredii	6	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3]
384	species	Rhizobium leguminosarum	15	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
382	species	Sinorhizobium meliloti	23	2	3	3	3	2.96	0.20	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]
147	species	Spirochaeta aurantia	2	2	3		2.5	2.50	0.50	[3, 2]
2137	species	Spiroplasma apis	2	1	2		1.5	1.50	0.50	[2, 1]
2136	species	Spiroplasma monobiae	2	1	1	1	1.0	1.00	0.00	[1, 1]
2134	species	Spiroplasma melliferum	2	1	1	1	1.0	1.00	0.00	[1, 1]
392734	species	Terriglobus roseus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
278961	species	Terriglobus sp. TAA 43	1	1	1	1	1	1.00	0.00	[1]
278962	species	Terriglobus sp. TAA 48	1	1	1	1	1	1.00	0.00	[1]
35622	species	Thermostaphylospora chromogena	1	6	6	6	6	6.00	0.00	[6]
162	species	Treponema phagedenis	6	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2]
2094	species	Mycoplasma arginini	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2121	species	Mycoplasma orale	2	1	1	1	1.0	1.00	0.00	[1, 1]
196	species	Campylobacter fetus	13	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
1828	species	Rhodococcus fascians	4	4	5	4	4.0	4.25	0.43	[4, 4, 5, 4]
562	species	Escherichia coli	965	6	11	7	7	7.02	0.25	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 10, 8, 9, 11, 7, 7, 10, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
29346	species	[Clostridium] paradoxum	1	15	15	15	15	15.00	0.00	[15]
1311	species	Streptococcus agalactiae	107	5	8	7	7	6.56	0.60	[6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 8, 5, 5, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8]
1502	species	Clostridium perfringens	15	8	10	10	10	9.87	0.50	[10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
1718	species	Corynebacterium glutamicum	29	5	6	6	6	5.93	0.25	[5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
33002	species	Desulfurella acetivorans	2	2	2	2	2.0	2.00	0.00	[2, 2]
79269	species	Desulfurella multipotens	1	2	2	2	2	2.00	0.00	[2]
1855	species	Frankia sp.	1	2	2	2	2	2.00	0.00	[2]
1590	species	Lactobacillus plantarum	100	4	5	5	5.0	4.99	0.10	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
1358	species	Lactococcus lactis	39	5	6	6	6	5.92	0.27	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6]
1769	species	Mycobacterium leprae	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
2095	species	Mycoplasma capricolum	14	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2102	species	Mycoplasma mycoides	35	1	2	2	2	1.97	0.17	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
1772	species	Mycolicibacterium smegmatis	8	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2]
1771	species	Mycolicibacterium phlei	3	1	2	2	2	1.67	0.47	[2, 2, 1]
1767	species	Mycobacterium intracellulare	8	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
59748	species	Candidatus Phytoplasma australiense	3	2	2	2	2	2.00	0.00	[2, 2, 2]
316	species	Pseudomonas stutzeri	28	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
74829	species	Pseudomonas balearica	2	4	4	4	4.0	4.00	0.00	[4, 4]
1308	species	Streptococcus thermophilus	28	5	6	6	6.0	5.68	0.47	[6, 6, 6, 6, 5, 6, 5, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 6, 6, 5, 6, 6, 6, 6, 6, 5, 5, 6]
1911	species	Streptomyces griseus	3	6	6	6	6	6.00	0.00	[6, 6, 6]
40318	species	Streptomyces nodosus	2	6	6	6	6.0	6.00	0.00	[6, 6]
244363	species	Haloarcula californiae	1	4	4	4	4	4.00	0.00	[4]
35746	species	Haloferax gibbonsii	2	2	4		3.0	3.00	1.00	[4, 2]
2242	species	Halobacterium salinarum	5	1	3	1	1	1.40	0.80	[3, 1, 1, 1, 1]
2250	species	Halococcus morrhuae	1	2	2	2	2	2.00	0.00	[2]
691	species	Vibrio natriegens	6	11	13	12	12.0	12.00	0.58	[13, 11, 12, 12, 12, 12]
2303	species	Thermoplasma acidophilum	2	1	1	1	1.0	1.00	0.00	[1, 1]
2271	species	Thermoproteus tenax	2	1	1	1	1.0	1.00	0.00	[1, 1]
1655	species	Actinomyces naeslundii	2	3	3	3	3.0	3.00	0.00	[3, 3]
35744	species	Halobacterium sp. GRB	1	1	1	1	1	1.00	0.00	[1]
29519	species	Borreliella garinii	6	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1]
29518	species	Borreliella afzelii	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
666	species	Vibrio cholerae	50	7	11	9	9.0	8.70	1.08	[7, 8, 8, 7, 8, 7, 7, 8, 9, 10, 7, 8, 10, 7, 8, 7, 10, 8, 9, 11, 8, 9, 10, 9, 8, 9, 10, 10, 9, 9, 8, 9, 7, 9, 10, 10, 9, 9, 10, 9, 9, 10, 10, 9, 10, 8, 9, 9, 9, 7]
1313	species	Streptococcus pneumoniae	75	1	5	4	4	3.73	0.88	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1]
1396	species	Bacillus cereus	57	10	16	14	14	13.60	0.97	[13, 13, 12, 13, 13, 14, 14, 13, 12, 14, 11, 12, 14, 13, 14, 12, 13, 14, 14, 14, 13, 13, 14, 14, 14, 13, 14, 10, 14, 16, 15, 13, 14, 13, 15, 15, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14]
1428	species	Bacillus thuringiensis	54	11	15	14	14.0	13.43	0.89	[13, 13, 13, 13, 14, 14, 14, 13, 12, 14, 15, 14, 12, 13, 15, 13, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 14, 13, 13, 12, 12, 14, 13, 13, 12, 14, 12, 15, 14, 13, 11, 13, 12, 14, 14, 14, 14, 14, 14, 12, 14, 15, 14, 14]
1405	species	Bacillus mycoides	10	1	14	14	14.0	12.50	3.88	[14, 14, 14, 14, 14, 14, 1, 12, 14, 14]
2275	species	Desulfurococcus mucosus	2	1	1	1	1.0	1.00	0.00	[1, 1]
2288	species	Sulfolobus sp.	1	1	1	1	1	1.00	0.00	[1]
955	species	Wolbachia pipientis	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
358	species	Agrobacterium tumefaciens	18	3	5	4	4.0	4.17	0.50	[4, 3, 5, 4, 4, 4, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4]
383631	species	Methylophilales bacterium HTCC2181	1	1	1	1	1	1.00	0.00	[1]
47493	species	Lactobacillus panis	1	5	5	5	5	5.00	0.00	[5]
52242	species	Lactobacillus gallinarum	3	4	5	4	4	4.33	0.47	[4, 4, 5]
639033	species	Acidobacteria bacterium KBS 83	1	1	1	1	1	1.00	0.00	[1]
639034	species	Acidobacteria bacterium KBS 96	1	2	2	2	2	2.00	0.00	[2]
263437	species	Wolbachia endosymbiont of Culex quinquefasciatus	1	1	1	1	1	1.00	0.00	[1]
33059	species	Acidithiobacillus caldus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
294	species	Pseudomonas fluorescens	21	1	6	6	5	5.05	1.43	[5, 5, 6, 5, 6, 6, 6, 6, 5, 1, 1, 6, 5, 6, 5, 5, 5, 6, 6, 4, 6]
88058	species	Treponema primitia	2	2	2	2	2.0	2.00	0.00	[2, 2]
436	species	Komagataeibacter hansenii	1	2	2	2	2	2.00	0.00	[2]
272129	species	[Oscillatoria] sp. PCC 6506	1	1	1	1	1	1.00	0.00	[1]
344736	species	Salipiger bermudensis	1	4	4	4	4	4.00	0.00	[4]
404236	species	Maritimibacter alkaliphilus	1	1	1	1	1	1.00	0.00	[1]
217159	species	Clostridium carboxidivorans	2	3	11		7.0	7.00	4.00	[3, 11]
422441	species	Stenoxybacter acetivorans	1	4	4	4	4	4.00	0.00	[4]
1610	species	Lactobacillus coryniformis	4	1	5	5	5.0	4.00	1.73	[1, 5, 5, 5]
1423	species	Bacillus subtilis	117	1	11	10	10	9.64	1.30	[10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 9, 10, 9, 10, 10, 10, 10, 8, 7, 9, 7, 10, 10, 10, 10, 10, 7, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 10, 10, 9, 1, 10, 10, 10, 10, 11, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 9, 9, 9, 10, 10, 10, 10, 10, 9, 10, 10, 9, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
813	species	Chlamydia trachomatis	90	1	3	2	2.0	2.03	0.23	[2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
191863	species	Chthoniobacter flavus	1	1	1	1	1	1.00	0.00	[1]
79885	species	Bacillus pseudofirmus	1	7	7	7	7	7.00	0.00	[7]
2188	species	Methanococcus voltae	1	2	2	2	2	2.00	0.00	[2]
38289	species	Corynebacterium jeikeium	4	3	5	3	3.5	3.75	0.83	[3, 5, 4, 3]
134821	species	Ureaplasma parvum	10	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
632	species	Yersinia pestis	43	6	7	7	7	6.65	0.48	[7, 7, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 6, 7, 7, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7]
83560	species	Chlamydia muridarum	20	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2371	species	Xylella fastidiosa	15	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
287	species	Pseudomonas aeruginosa	202	1	8	4	4.0	4.00	0.35	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
